t	D1	D2	white	black	half
0	30	3600	251	0	0		
0	30	3600	284	1	0		
0	30	3600	256	0	0		
21	30	3600	273	1	0		
21	30	3600	275	2	0		
21	30	3600	309	1	0		
45	30	3600	213	0	0		
45	30	3600	256	0	0		
45	30	3600	242	3	1		
69	30	3600	237	1	0		
69	30	3600	263	0	1		
69	30	3600	268	0	0		
92	30	3600	251	0	2		
92	30	3600	238	1	1		
92	30	3600	271	4	2		
120	30	3600	76	0	3		
120	30	3600	62	3	3		
120	30	3600	75	2	0		
142	30	3600	40	5	0		
142	30	3600	51	1	2		
142	30	3600	36	0	0		
165	30	400	14	3	0		
165	30	400	22	4	0		
165	30	400	23	1	0		
189.5	30	200	41	10	0		
189.5	30	200	33	11	0		
189.5	30	200	35	11	2		
261	30	100	70	11	0		
261	30	100	70	7	2		
261	30	100	69	17	0		
310	30	100	54	13	4		
310	30	100	45	19	1		
310	30	100	45	19	0		
357.5	30	100	55	11	5		
357.5	30	100	53	14	1		
357.5	30	100	40	25	3		
